Sample_typ	SAMPLE_NUM	METHOD_DES	ATLAS_DESC	EASTING	NORTHING	ALUMINIUM	ANTIMONY	ARSENIC
gbase Stream Water	42_2879_+	Colorimetric Method	East Midlands	463510	339500	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_2879_+	ICP Atomic Emission Spectrometry	East Midlands	463510	339500	0.04312800000	-99.00000000000	-99.00000000000
gbase Stream Water	42_2879_+	ICP Mass Spectrometry	East Midlands	463510	339500	0.00502300000	0.00065500000	0.00525100000
gbase Stream Water	42_2883_+	Conductivity meter	East Midlands	475070	338250	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_2883_+	Ion Selective Electrode	East Midlands	475070	338250	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_2883_+	pH electrode	East Midlands	475070	338250	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_2883_+	Titrimetric method	East Midlands	475070	338250	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_2883_+	TOC Analyser  (Shimadzu 5000)	East Midlands	475070	338250	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_2883_+	Colorimetric Method	East Midlands	475070	338250	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_2883_+	ICP Atomic Emission Spectrometry	East Midlands	475070	338250	0.01494800000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3003_+	Conductivity meter	East Midlands	476400	336410	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3003_+	Ion Selective Electrode	East Midlands	476400	336410	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3003_+	pH electrode	East Midlands	476400	336410	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3003_+	Titrimetric method	East Midlands	476400	336410	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3003_+	TOC Analyser  (Shimadzu 5000)	East Midlands	476400	336410	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3003_+	Colorimetric Method	East Midlands	476400	336410	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3043_+	Ion Selective Electrode	East Midlands	474680	335780	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3043_+	pH electrode	East Midlands	474680	335780	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3043_+	Titrimetric method	East Midlands	474680	335780	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3043_+	TOC Analyser  (Shimadzu 5000)	East Midlands	474680	335780	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3043_+	Colorimetric Method	East Midlands	474680	335780	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3043_+	ICP Atomic Emission Spectrometry	East Midlands	474680	335780	0.02843000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3043_+	ICP Mass Spectrometry	East Midlands	474680	335780	0.00513500000	0.00024000000	0.00452800000
gbase Stream Water	42_3090_+	Conductivity meter	East Midlands	476900	344920	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3090_+	Ion Selective Electrode	East Midlands	476900	344920	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3090_+	pH electrode	East Midlands	476900	344920	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3090_+	Titrimetric method	East Midlands	476900	344920	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3090_+	TOC Analyser  (Shimadzu 5000)	East Midlands	476900	344920	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3090_+	Colorimetric Method	East Midlands	476900	344920	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3090_+	ICP Atomic Emission Spectrometry	East Midlands	476900	344920	0.10045500000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3090_+	ICP Mass Spectrometry	East Midlands	476900	344920	0.00702800000	0.00010300000	0.01401800000
gbase Stream Water	42_3093_+	Conductivity meter	East Midlands	476320	341920	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3093_+	Ion Selective Electrode	East Midlands	476320	341920	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3093_+	pH electrode	East Midlands	476320	341920	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3093_+	Titrimetric method	East Midlands	476320	341920	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_2883_+	ICP Mass Spectrometry	East Midlands	475070	338250	0.00224200000	0.00019500000	0.00423800000
gbase Stream Water	42_3003_+	ICP Atomic Emission Spectrometry	East Midlands	476400	336410	0.02580100000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3003_+	ICP Mass Spectrometry	East Midlands	476400	336410	0.00555900000	0.00015200000	0.00428400000
gbase Stream Water	42_3048_+	Conductivity meter	East Midlands	477910	336360	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3093_+	TOC Analyser  (Shimadzu 5000)	East Midlands	476320	341920	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3093_+	Colorimetric Method	East Midlands	476320	341920	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3093_+	ICP Atomic Emission Spectrometry	East Midlands	476320	341920	0.07501800000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3093_+	ICP Mass Spectrometry	East Midlands	476320	341920	0.08787200000	0.00030000000	0.01694700000
gbase Stream Water	42_3094_+	Conductivity meter	East Midlands	475830	335780	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3094_+	Ion Selective Electrode	East Midlands	475830	335780	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3094_+	pH electrode	East Midlands	475830	335780	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3094_+	Titrimetric method	East Midlands	475830	335780	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3094_+	TOC Analyser  (Shimadzu 5000)	East Midlands	475830	335780	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3094_+	Colorimetric Method	East Midlands	475830	335780	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3094_+	ICP Atomic Emission Spectrometry	East Midlands	475830	335780	-0.00975100000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3094_+	ICP Mass Spectrometry	East Midlands	475830	335780	0.00469500000	0.00017400000	0.00358400000
gbase Stream Water	42_3010_+	Conductivity meter	East Midlands	479200	344390	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3010_+	Ion Selective Electrode	East Midlands	479200	344390	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3010_+	pH electrode	East Midlands	479200	344390	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3010_+	Titrimetric method	East Midlands	479200	344390	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3010_+	TOC Analyser  (Shimadzu 5000)	East Midlands	479200	344390	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3010_+	Colorimetric Method	East Midlands	479200	344390	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3010_+	ICP Atomic Emission Spectrometry	East Midlands	479200	344390	0.00200600000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3048_+	Ion Selective Electrode	East Midlands	477910	336360	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3048_+	pH electrode	East Midlands	477910	336360	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3048_+	Titrimetric method	East Midlands	477910	336360	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3048_+	TOC Analyser  (Shimadzu 5000)	East Midlands	477910	336360	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3048_+	Colorimetric Method	East Midlands	477910	336360	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3048_+	ICP Atomic Emission Spectrometry	East Midlands	477910	336360	0.02564400000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3048_+	ICP Mass Spectrometry	East Midlands	477910	336360	0.01264800000	0.00015200000	0.00234700000
gbase Stream Water	42_3050_+	Conductivity meter	East Midlands	480400	342210	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3050_+	Ion Selective Electrode	East Midlands	480400	342210	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3050_+	pH electrode	East Midlands	480400	342210	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3050_+	Titrimetric method	East Midlands	480400	342210	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3050_+	TOC Analyser  (Shimadzu 5000)	East Midlands	480400	342210	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3050_+	Colorimetric Method	East Midlands	480400	342210	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3095_+	Conductivity meter	East Midlands	479100	342280	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3095_+	Ion Selective Electrode	East Midlands	479100	342280	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3095_+	pH electrode	East Midlands	479100	342280	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3095_+	Titrimetric method	East Midlands	479100	342280	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3095_+	TOC Analyser  (Shimadzu 5000)	East Midlands	479100	342280	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3095_+	Colorimetric Method	East Midlands	479100	342280	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3095_+	ICP Atomic Emission Spectrometry	East Midlands	479100	342280	-0.00587700000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3095_+	ICP Mass Spectrometry	East Midlands	479100	342280	0.00819600000	0.00017300000	0.00082600000
gbase Stream Water	42_2893_+	Conductivity meter	East Midlands	477320	337550	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_2893_+	Ion Selective Electrode	East Midlands	477320	337550	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_2893_+	pH electrode	East Midlands	477320	337550	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_2893_+	Titrimetric method	East Midlands	477320	337550	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_2893_+	TOC Analyser  (Shimadzu 5000)	East Midlands	477320	337550	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_2893_+	Colorimetric Method	East Midlands	477320	337550	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_2893_+	ICP Atomic Emission Spectrometry	East Midlands	477320	337550	-0.01431500000	-99.00000000000	-99.00000000000
gbase Stream Water	42_2893_+	ICP Mass Spectrometry	East Midlands	477320	337550	0.00447500000	0.00020900000	0.00454200000
gbase Stream Water	42_2896_+	Conductivity meter	East Midlands	462440	337490	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_2896_+	Ion Selective Electrode	East Midlands	462440	337490	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_2896_+	pH electrode	East Midlands	462440	337490	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_2896_+	Titrimetric method	East Midlands	462440	337490	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3010_+	ICP Mass Spectrometry	East Midlands	479200	344390	0.00323400000	0.00021800000	0.00393400000
gbase Stream Water	42_3050_+	ICP Atomic Emission Spectrometry	East Midlands	480400	342210	-0.00806900000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3050_+	ICP Mass Spectrometry	East Midlands	480400	342210	0.00691800000	0.00050800000	0.00992000000
gbase Stream Water	42_3054_+	Conductivity meter	East Midlands	475820	344710	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3054_+	Ion Selective Electrode	East Midlands	475820	344710	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3054_+	pH electrode	East Midlands	475820	344710	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3054_+	Titrimetric method	East Midlands	475820	344710	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3054_+	TOC Analyser  (Shimadzu 5000)	East Midlands	475820	344710	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3054_+	Colorimetric Method	East Midlands	475820	344710	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3054_+	ICP Atomic Emission Spectrometry	East Midlands	475820	344710	0.14365300000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3054_+	ICP Mass Spectrometry	East Midlands	475820	344710	0.00934700000	0.00032300000	0.00908100000
gbase Stream Water	42_3055_+	Conductivity meter	East Midlands	480100	340100	-99.00000000000	-99.00000000000	-99.00000000000
gbase Stream Water	42_3055_+	Ion Selective Electrode	East Midlands	480100	340100	-99.00000000000	-99.00000000000	-99.00000000000
